features,labels
"[0.08755407 0.0129121  0.14291077 0.08138885 0.0606319  0.0273907
 0.02858215 0.         0.08466684 0.04377704 0.         0.08370488
 0.14073537 0.16168508 0.01826047 0.02858215 0.         0.03343745
 0.07311791 0.0129121  0.08370488 0.13995212 0.12126381 0.02282559
 0.02245741 0.         0.08466684 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04686052 0.0129121  0.13474444 0.04219374 0.07506808 0.02660745
 0.03062373 0.00645605 0.01322682 0.13683329 0.01936815 0.13066127
 0.12169166 0.25118931 0.06580257 0.07758013 0.00645605 0.10366812
 0.12415104 0.01936815 0.12249494 0.16010352 0.33491908 0.0878449
 0.09799596 0.00645605 0.16550938 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.16402775 0.00645605 0.1388276
 0.07682374 0.19633188 0.11177817 0.12249494 0.0129121  0.08829489
 0.16094426 0.0129121  0.10003753 0.07225862 0.28294888 0.14640818
 0.10820386 0.         0.21432005 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01837424 0.04108605 0.22520421 0.00913023
 0.00408316 0.         0.         0.04424557 0.00645605 0.02245741
 0.01747722 0.13569997 0.14908235 0.10616229 0.00645605 0.01779194
 0.09574724 0.00645605 0.01633266 0.00645605 0.0606319  0.00645605
 0.00816633 0.         0.12005446 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",4
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.0302696  0.         0.01318049
 0.02168297 0.02485338 0.06996099 0.03734473 0.         0.00621334
 0.14882728 0.00694673 0.02416424 0.02168297 0.03106672 0.02659505
 0.19551064 0.02778692 0.39934336 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.10352846 0.         0.04613173
 0.01964832 0.08077347 0.1387301  0.31413508 0.02778692 0.12187552
 0.18018697 0.         0.008787   0.         0.01553336 0.06589168
 0.27239686 0.01389346 0.31281312 0.12309496 0.01389346 0.04832847
 0.00491208 0.0217467  0.00982416 0.22626514 0.00694673 0.10344666
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.06754966 0.00694673 0.04173823
 0.03438456 0.01864003 0.09943346 0.06590246 0.00694673 0.06444299
 0.03648294 0.00694673 0.01537724 0.01473624 0.00621334 0.09655604
 0.10105044 0.         0.03287213 0.0160375  0.         0.02636099
 0.01677089 0.02796005 0.         0.05711547 0.         0.0160375
 0.23682237 0.01389346 0.05052522 0.01964832 0.09009349 0.04624337
 0.04393498 0.02084019 0.26217989 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.16587307 0.         0.1032472  0.02947248 0.13980024 0.03929664
 0.04613172 0.00694673 0.09991765 0.01864003 0.         0.02636099
 0.04336594 0.11184019 0.17311466 0.1032472  0.         0.04399755]",5
"[0.         0.         0.03080944 0.06889201 0.18517731 0.
 0.         0.         0.         0.0027232  0.         0.0192559
 0.04305751 0.15249896 0.05775825 0.02503267 0.         0.0027232
 0.0027232  0.         0.00192559 0.         0.14705257 0.11299427
 0.04621417 0.         0.         0.         0.         0.
 0.         0.         0.         0.00192559 0.         0.
 0.05939668 0.00608925 0.10590746 0.12695627 0.20423968 0.05954176
 0.09242833 0.0121785  0.03242153 0.1508447  0.         0.15982398
 0.18902028 0.30772112 0.07172026 0.09627951 0.01826775 0.13292297
 0.13520425 0.00608925 0.13286572 0.08537626 0.37307782 0.08789851
 0.17715429 0.01826775 0.13608808 0.12114636 0.00608925 0.07509801
 0.01291725 0.0626335  0.06889201 0.10590746 0.0121785  0.1737709
 0.06307542 0.         0.03080944 0.04053525 0.125267   0.03875175
 0.05584212 0.00608925 0.10569101 0.13906809 0.01826775 0.06932125
 0.05093026 0.11437422 0.0258345  0.04236298 0.         0.12615083
 0.08574481 0.0121785  0.24262437 0.12412801 0.20151648 0.0294015
 0.04621417 0.00608925 0.07941459 0.05965349 0.0121785  0.0982051
 0.04053525 0.02178557 0.         0.00192559 0.         0.04357113
 0.02064493 0.00608925 0.00962795 0.02509575 0.04629433 0.08285401
 0.02695826 0.         0.00816959 0.02925643 0.         0.04428857
 0.05880301 0.12254381 0.05523601 0.05584212 0.00608925 0.04014921
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",3
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.0320564  0.         0.17562289
 0.13797391 0.04319448 0.         0.00254526 0.         0.00359954
 0.19895337 0.04024408 0.32070268 0.02845686 0.03959494 0.00569137
 0.01527155 0.00804882 0.06386814 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01707412 0.         0.09671985 0.08772803 0.21957195 0.
 0.         0.         0.         0.01648999 0.         0.09926511
 0.07301136 0.         0.         0.         0.         0.00359954
 0.10497079 0.         0.09671985 0.19155369 0.28796321 0.03650568
 0.04581467 0.01609763 0.13493536 0.05457723 0.01609763 0.0127263
 0.01943156 0.00719908 0.02512293 0.01781681 0.         0.07466676
 0.00359954 0.         0.11453666 0.23846565 0.10078712 0.00569137
 0.01018104 0.         0.00719908 0.13435124 0.         0.05854096
 0.06496255 0.10078712 0.03081431 0.32833844 0.02414645 0.24667098
 0.05457723 0.00804882 0.03054311 0.05024587 0.28796321 0.1469992
 0.09417459 0.01609763 0.07165135 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01439816 0.         0.
 0.         0.01079862 0.04219705 0.27997852 0.03219527 0.12822561
 0.10497079 0.00804882 0.01018104 0.         0.         0.
 0.02036207 0.         0.14782581 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",5
"[0.04272864 0.         0.02664093 0.01832951 0.04637041 0.00916476
 0.01434511 0.         0.03187966 0.03403419 0.         0.04713395
 0.05610042 0.08984267 0.21602311 0.19058509 0.01296092 0.0518934
 0.         0.         0.         0.         0.00869445 0.01106284
 0.00819721 0.         0.03234996 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.1149091  0.01944139 0.07377487 0.05688662 0.13331493 0.06794947
 0.06352836 0.01296092 0.09583597 0.04488318 0.00648046 0.17214137
 0.13511273 0.42313001 0.14964607 0.09016929 0.         0.02776758
 0.04104442 0.00648046 0.03893674 0.04772187 0.06955562 0.01832951
 0.04713395 0.         0.04805464 0.07743013 0.01296092 0.16804276
 0.06605138 0.10433343 0.00458238 0.02254232 0.         0.02365551
 0.10864249 0.01296092 0.05738045 0.04772187 0.15070384 0.0377709
 0.04508465 0.00648046 0.08909906 0.06638416 0.00648046 0.19263439
 0.25346837 0.1999724  0.00916476 0.02869023 0.         0.06712777
 0.13061378 0.01296092 0.17419067 0.05420233 0.11012973 0.05498854
 0.05738045 0.         0.10817219 0.09125359 0.         0.13935254
 0.1863051  0.05796301 0.         0.01024651 0.         0.06375932
 0.1202351  0.01296092 0.06147906 0.11298705 0.09274083 0.
 0.02869023 0.01296092 0.09947774 0.00869445 0.         0.10656371
 0.20384841 0.06955562 0.         0.00614791 0.         0.0057963
 0.         0.         0.02459162 0.05688662 0.19707425 0.01832951
 0.00819721 0.         0.         0.         0.         0.02049302
 0.03855711 0.02318521 0.         0.0020493  0.         0.00289815]",4
"[0.02060396 0.         0.2389349  0.14873965 0.         0.
 0.         0.         0.02060396 0.24474428 0.01842874 0.19522729
 0.24535492 0.13598615 0.01572992 0.0291384  0.00921437 0.17958883
 0.05769109 0.         0.02622456 0.05212436 0.23076438 0.02606218
 0.05827681 0.00921437 0.09199486 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00412079 0.         0.04953528 0.10582966 0.06593268 0.
 0.         0.         0.00412079 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.17986893 0.02764312 0.12238129 0.05752201 0.10301981 0.11886075
 0.17483041 0.01842874 0.14795992 0.08893139 0.         0.00291384
 0.         0.         0.         0.0145692  0.00921437 0.14795992
 0.         0.         0.0145692  0.03257773 0.06593268 0.03257773
 0.0145692  0.         0.         0.03948189 0.         0.01165536
 0.00651554 0.02472475 0.01303109 0.0291384  0.         0.01648317
 0.27080645 0.01842874 0.16608889 0.02606218 0.34614657 0.10582966
 0.05536297 0.         0.18783041 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00874152 0.01954663 0.14834853 0.07167099
 0.03205224 0.         0.         0.01236238 0.         0.00582768
 0.00651554 0.15659011 0.21929274 0.12820898 0.         0.01648317
 0.16338576 0.00921437 0.0291384  0.         0.03296634 0.06403756
 0.04953528 0.00921437 0.1562015  0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",5
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09787948 0.         0.19933329
 0.13291981 0.0448477  0.04052025 0.01585606 0.         0.02562726
 0.01922044 0.         0.         0.         0.06406814 0.18060308
 0.21292419 0.         0.01922044 0.0522942  0.         0.03171211
 0.03039019 0.0896954  0.02026013 0.02038636 0.         0.0338957
 0.26341696 0.         0.02038636 0.         0.         0.
 0.0045303  0.         0.16389361 0.35592933 0.02148911 0.17215147
 0.08313851 0.17618739 0.07720446 0.16535602 0.02148911 0.37255056
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.28666276 0.         0.0135909
 0.         0.         0.         0.0135909  0.         0.28666276
 0.03844089 0.         0.00226515 0.         0.         0.
 0.00679545 0.         0.04722917 0.10891584 0.         0.30126509
 0.07004142 0.01601704 0.03965123 0.09287119 0.02865214 0.17155785
 0.00320341 0.         0.08154543 0.06794341 0.14735673 0.05991136
 0.06115908 0.         0.00320341 0.06883108 0.         0.03850757
 0.0345862  0.01922044 0.01013006 0.00679545 0.         0.0448477
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0
"[0.         0.         0.01897273 0.02745901 0.13622139 0.02419561
 0.03502657 0.         0.         0.02716642 0.         0.02626993
 0.02419561 0.13622139 0.11906637 0.08902587 0.00461516 0.01238376
 0.01238376 0.         0.00437832 0.00326341 0.03921525 0.09869407
 0.10653916 0.         0.0414195  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11792633 0.01384547 0.07589091 0.01766879 0.11145387 0.04186439
 0.07297202 0.00461516 0.07977024 0.03955018 0.         0.03648601
 0.05626977 0.34055348 0.22181568 0.1911867  0.00923031 0.06705154
 0.17610651 0.01384547 0.03794545 0.00652682 0.20226813 0.22755067
 0.35756291 0.03230609 0.27660229 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.05932528 0.         0.03940489 0.00652682 0.13828535 0.15822727
 0.2524832  0.00923031 0.10554257 0.14249921 0.00923031 0.1298902
 0.08969569 0.1671808  0.06009309 0.08026923 0.         0.09148413
 0.11072965 0.00923031 0.10362027 0.06470825 0.21258793 0.02881076
 0.08026923 0.00461516 0.13496759 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00825584 0.         0.00145944 0.         0.02063961 0.02419561
 0.00875664 0.         0.00532737 0.00739133 0.         0.03356713
 0.03072242 0.06398278 0.01958045 0.01313496 0.         0.00825584
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",3
"[0.07225335 0.         0.02353936 0.0087726  0.04623567 0.06454022
 0.08892647 0.01240633 0.06807997 0.01479541 0.         0.
 0.         0.00184943 0.07381454 0.16477552 0.         0.03311527
 0.16515052 0.00827089 0.03269355 0.0087726  0.03144025 0.01875645
 0.0340013  0.         0.15345371 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07547767 0.00413544 0.02092387 0.0087726  0.03513911 0.11253867
 0.1582368  0.01240633 0.07470302 0.12451183 0.00413544 0.03269355
 0.0087726  0.10726675 0.21388226 0.35570586 0.00827089 0.20501454
 0.32235179 0.00827089 0.05100194 0.0058484  0.08507363 0.04457254
 0.18962261 0.04135444 0.4085285  0.02404255 0.         0.0248471
 0.05384685 0.07027821 0.01583225 0.07192582 0.00827089 0.05620875
 0.04206228 0.         0.01307742 0.014621   0.12206216 0.
 0.01700065 0.00413544 0.03758878 0.12511207 0.01240633 0.08761872
 0.08379839 0.2145335  0.08430009 0.12031227 0.02067722 0.17482347
 0.10304466 0.01654177 0.10592712 0.03045325 0.138707   0.06625318
 0.1425439  0.02067722 0.13323572 0.03328968 0.         0.01046194
 0.0116968  0.07582649 0.03751289 0.0836955  0.00827089 0.08085154
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",5
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07834024 0.00906484 0.02293244
 0.         0.03243137 0.02563925 0.2780559  0.04532422 0.18391099
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01216177 0.         0.24079067
 0.09614719 0.0567549  0.         0.00286656 0.         0.01216177
 0.11548339 0.         0.07166389 0.07581801 0.20675001 0.16445564
 0.10892911 0.01812969 0.06146669 0.0567549  0.00906484 0.03153211
 0.02188447 0.19458824 0.20666929 0.33252044 0.02719453 0.22614824
 0.03204907 0.         0.10892911 0.09770248 0.20675002 0.05658857
 0.03726522 0.         0.00405392 0.01621569 0.         0.10032945
 0.12334172 0.         0.         0.         0.         0.01216177
 0.05335884 0.         0.00859967 0.         0.08107843 0.07957278
 0.06306422 0.00906484 0.05807063 0.17760794 0.00906484 0.04586489
 0.         0.17026471 0.03845888 0.03439866 0.         0.1472569
 0.08973738 0.         0.14332777 0.         0.02026961 0.
 0.         0.         0.         0.0226255  0.         0.17485989
 0.15008072 0.1864804  0.         0.         0.         0.02026961
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.12293337 0.         0.04586489
 0.02829428 0.14188726 0.         0.04299833 0.01812969 0.13405497
 0.00810784 0.         0.21499166 0.08222782 0.12161765 0.
 0.         0.         0.00810784 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",3
