features,labels
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.14601939 0.01402688 0.03770335
 0.         0.         0.         0.         0.         0.05645709
 0.0431063  0.         0.06875317 0.08430725 0.44538375 0.05660594
 0.06431748 0.00701344 0.06557082 0.01487775 0.         0.16412047
 0.10740176 0.24151091 0.09953745 0.12198143 0.00701344 0.01487775
 0.03814705 0.         0.09314946 0.14211652 0.09409516 0.
 0.00221784 0.         0.02509204 0.20743574 0.00701344 0.14194202
 0.08551057 0.23210139 0.0297555  0.03992119 0.         0.15602049
 0.04361528 0.00701344 0.03548551 0.01487775 0.04704758 0.04874163
 0.02883198 0.00701344 0.03814705 0.20086693 0.03506719 0.16190263
 0.04172819 0.06273011 0.02394538 0.03104982 0.         0.13275119
 0.01881903 0.         0.         0.         0.17878081 0.04378238
 0.0554461  0.00701344 0.03369678 0.06768936 0.         0.01330706
 0.         0.15682526 0.07849713 0.09758514 0.02104032 0.15695585
 0.05878883 0.         0.03104982 0.01487775 0.24151091 0.07353788
 0.07762455 0.00701344 0.07993959 0.05768826 0.03506719 0.19517029
 0.0297555  0.01881903 0.         0.00221784 0.         0.00313651
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04391107 0.         0.
 0.         0.         0.         0.00221784 0.         0.01750527
 0.01568253 0.         0.04657473 0.06156519 0.03450156 0.1739262
 0.08649592 0.00701344 0.08044857 0.03420577 0.00701344 0.20847735
 0.04463325 0.00313651 0.         0.         0.         0.00940952]",1
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.12614029 0.02272815 0.08145576 0.16958819 0.08809093 0.00535708
 0.02395758 0.         0.11684528 0.0479834  0.         0.08145576
 0.18879753 0.20328677 0.02678538 0.03593636 0.         0.02907387
 0.04459528 0.         0.06468545 0.08923205 0.39979734 0.10086533
 0.15093272 0.0303042  0.12243266 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.30035319 0.0151521  0.15572424 0.04193749 0.03049302 0.00757605
 0.08385151 0.05303235 0.38551661 0.34650871 0.0303042  0.15093272
 0.06336579 0.18634621 0.12673159 0.22999274 0.00757605 0.27434792
 0.02426661 0.00757605 0.01197879 0.         0.03388113 0.01071415
 0.05031091 0.         0.05924737 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00958303 0.06022769 0.00677623 0.
 0.         0.         0.00338811 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",1
"[0.06146971 0.         0.00814981 0.         0.01536743 0.
 0.0027166  0.         0.06915342 0.15741496 0.00859065 0.07063168
 0.         0.         0.         0.         0.         0.08452085
 0.01760008 0.01718131 0.16299618 0.2459282  0.07683714 0.
 0.00543321 0.         0.00384186 0.         0.         0.
 0.         0.         0.         0.         0.         0.01536743
 0.07200952 0.         0.02716603 0.05111221 0.18440913 0.01214902
 0.01358302 0.         0.0582513  0.15232621 0.01718131 0.0896479
 0.194816   0.08452085 0.         0.0027166  0.         0.11525571
 0.11167499 0.00859065 0.1765792  0.15689501 0.16519984 0.04503771
 0.03803244 0.         0.0851443  0.07003801 0.01718131 0.12768034
 0.17659247 0.09988828 0.0389632  0.05161546 0.00859065 0.0297491
 0.18108955 0.02577196 0.1901622  0.1229641  0.43028797 0.206965
 0.24177767 0.02577196 0.17054974 0.10560048 0.00859065 0.1792958
 0.09970829 0.2228277  0.03644705 0.04889885 0.         0.10051173
 0.13311693 0.01718131 0.07063168 0.02933032 0.03457671 0.
 0.00543321 0.         0.08452085 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",1
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01404345
 0.0314021  0.30187855 0.         0.         0.         0.
 0.06049586 0.01776371 0.15728658 0.08684833 0.22640893 0.
 0.00280869 0.         0.00397209 0.         0.         0.01685213
 0.03768252 0.34954362 0.         0.         0.         0.
 0.13762926 0.         0.05617378 0.06800707 0.1429951  0.03660497
 0.06459985 0.01776371 0.10585257 0.01191626 0.00888185 0.06740854
 0.09680773 0.29393438 0.05652378 0.03651296 0.         0.03011294
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.13301259 0.00888185 0.0505564  0.09312875 0.08341381 0.03032455
 0.05617378 0.00888185 0.09661923 0.07445047 0.02664557 0.22750381
 0.26054497 0.32968316 0.01256084 0.03932165 0.         0.13236801
 0.01191626 0.         0.08706936 0.14965252 0.10327424 0.02512168
 0.01404345 0.         0.00794417 0.01588834 0.         0.14324315
 0.22286247 0.07944172 0.08316934 0.02246951 0.         0.01191626
 0.08534756 0.00888185 0.05898247 0.         0.         0.00888185
 0.01685213 0.01776371 0.05689837 0.00397209 0.         0.07864329
 0.20985529 0.15093928 0.02144269 0.00280869 0.         0.00794417
 0.00397209 0.         0.03089558 0.08684833 0.         0.
 0.         0.         0.00397209 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",2
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07107322 0.         0.03977478
 0.05929274 0.1687501  0.         0.04640391 0.02096315 0.05701071
 0.02343751 0.01048157 0.03314565 0.05929274 0.3375002  0.08459751
 0.03977478 0.         0.04491162 0.07607934 0.         0.22539042
 0.1500302  0.22031263 0.         0.00331456 0.         0.00937501
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.19523033 0.02096315 0.14584086
 0.11424387 0.08437505 0.09507908 0.16572825 0.02096315 0.18781873
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.0765214  0.         0.05966217
 0.09814906 0.22500013 0.05495113 0.09612239 0.01048157 0.04763571
 0.22247121 0.0419263  0.1226389  0.02964637 0.19218761 0.20932294
 0.12926803 0.01048157 0.13549552 0.22595598 0.02096315 0.23864868
 0.19142977 0.11250007 0.01482319 0.02320195 0.         0.09843756
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.16438122 0.         0.17567194 0.12038384 0.11250007 0.02530476
 0.07954956 0.01048157 0.13277143 0.         0.         0.01657283
 0.         0.0046875  0.         0.         0.         0.        ]",5
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.03521171 0.         0.32544124
 0.03177396 0.04453969 0.01173724 0.00787358 0.         0.
 0.         0.         0.06561315 0.12567185 0.20042858 0.01173724
 0.00787358 0.         0.         0.         0.         0.02886979
 0.0645548  0.28950795 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.29743581 0.02489844 0.0603641
 0.         0.00371164 0.         0.01574716 0.         0.24306358
 0.01173724 0.         0.1102301  0.03177396 0.         0.
 0.         0.         0.         0.         0.         0.01312263
 0.02347448 0.14846562 0.12910961 0.06561315 0.         0.00371164
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.22856704 0.         0.00787358
 0.         0.         0.         0.05249052 0.03319792 0.32833357
 0.29102166 0.04979688 0.15747156 0.         0.02226984 0.
 0.00524905 0.         0.0371164  0.43120941 0.04979688 0.07348673
 0.01173724 0.02226984 0.02590534 0.03149431 0.         0.23935194]",0
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.15379617 0.         0.05829662
 0.02833809 0.20790195 0.13173041 0.1698206  0.01603044 0.15946378
 0.01075355 0.         0.         0.         0.18639487 0.14306565
 0.10138543 0.         0.00716903 0.00358452 0.         0.07603907
 0.16573611 0.16488775 0.00566762 0.00760391 0.         0.00358452
 0.09285939 0.00801522 0.02281172 0.0306857  0.         0.
 0.02281172 0.00801522 0.08360725 0.14754686 0.         0.02027709
 0.01700285 0.02867613 0.         0.01774245 0.         0.17021733
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00716903 0.         0.04308881
 0.03967333 0.0215071  0.         0.00253464 0.         0.00358452
 0.0430142  0.         0.00253464 0.         0.         0.
 0.00506927 0.00801522 0.05284802 0.12153552 0.00801522 0.22304796
 0.34183506 0.22224002 0.02501808 0.05322735 0.00801522 0.14512572
 0.1310313  0.         0.25346358 0.0623438  0.05376775 0.00566762
 0.01013854 0.         0.0666044  0.03134092 0.         0.2483943
 0.17375133 0.01792258 0.         0.00506927 0.         0.01433807
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02509161 0.         0.03041563
 0.09205709 0.05018323 0.         0.01520782 0.00801522 0.04417757
 0.36625721 0.03206089 0.13940497 0.         0.01075355 0.00566762
 0.02281172 0.         0.20039488 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",5
"[0.00253859 0.         0.01077032 0.00802772 0.01015435 0.00401386
 0.00538516 0.         0.01162962 0.11351825 0.01135291 0.19207065
 0.12706618 0.05077176 0.02408316 0.04308127 0.00567646 0.09197368
 0.01015435 0.         0.03769611 0.00802772 0.07108046 0.04914025
 0.14898938 0.01702937 0.08346714 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.1033639  0.00567646 0.33028971 0.12706618 0.18023975 0.02975962
 0.04487632 0.         0.08861118 0.34127295 0.02270582 0.21899644
 0.11571327 0.14469952 0.05951923 0.11129328 0.02838228 0.28631479
 0.26713624 0.01135291 0.09334275 0.01771804 0.02792447 0.00802772
 0.05385158 0.         0.36902487 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.0131049  0.         0.00897526 0.00802772 0.01269294 0.00567646
 0.         0.         0.00761576 0.13489027 0.01702937 0.11488338
 0.         0.02538588 0.05550537 0.07180211 0.00567646 0.09073781
 0.16175143 0.00567646 0.19027559 0.         0.00761576 0.
 0.00179505 0.         0.1066207  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03769611 0.0802772  0.13200658 0.01605544
 0.01436042 0.         0.         0.00253859 0.         0.04667137
 0.00567646 0.11677506 0.09094145 0.07359716 0.         0.00253859
 0.0602079  0.01135291 0.03949116 0.         0.00253859 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.12645147 0.         0.08523335
 0.07058798 0.25000508 0.         0.00947037 0.         0.10340512
 0.         0.         0.04103828 0.08470558 0.26786257 0.05647039
 0.03156791 0.         0.00446438 0.13682916 0.02994795 0.29673832
 0.24342466 0.1116094  0.09761208 0.14205558 0.         0.06696564
 0.30086558 0.0199653  0.11048767 0.05939424 0.07143002 0.
 0.02209753 0.0199653  0.2335965  0.00446438 0.00998265 0.01578395
 0.03529399 0.03571501 0.         0.00315679 0.         0.00892875
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07143002 0.         0.00315679 0.         0.03125063 0.09347713
 0.08839013 0.00998265 0.12271156 0.11637723 0.0199653  0.05366544
 0.         0.1875038  0.13411717 0.06944939 0.         0.07848882
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.10962188 0.0199653  0.39459884
 0.18524152 0.04017938 0.         0.00315679 0.         0.0178575
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02678626 0.         0.00315679
 0.         0.03571501 0.06645303 0.04103828 0.0199653  0.0390339
 0.03529399 0.         0.14836916 0.03821784 0.2276832  0.11465353
 0.02841112 0.         0.         0.         0.         0.07891976
 0.         0.         0.         0.         0.         0.        ]",5
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.09816121 0.00850381 0.18286157 0.09870033 0.28142343 0.10222273
 0.0726068  0.         0.07128158 0.05545235 0.00850381 0.02689141
 0.0180393  0.22437814 0.14929585 0.09143079 0.00850381 0.0871108
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.12000353 0.01700762 0.10487649
 0.03607861 0.0190151  0.0120262  0.0134457  0.         0.04784632
 0.25213343 0.02551143 0.16672673 0.10720414 0.18634795 0.10969486
 0.15597017 0.00850381 0.25151628 0.         0.         0.00537828
 0.0120262  0.12930266 0.0180393  0.00806742 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.1992498  0.00850381 0.16134844
 0.15281824 0.17493889 0.02053001 0.05647195 0.         0.19138526
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01882398
 0.04209171 0.04563623 0.         0.         0.         0.
 0.1431803  0.         0.08874165 0.14225107 0.14451474 0.05308623
 0.09411993 0.         0.11851075 0.         0.         0.04840453
 0.10823583 0.24339324 0.0060131  0.00268914 0.         0.
 0.         0.         0.03495883 0.12172105 0.24339326 0.0120262
 0.00537828 0.         0.00380302 0.00760604 0.         0.10756563
 0.21689899 0.04563623 0.         0.00537828 0.         0.00760604]",1
